Date,Open,High,Low,Close,Adj Close,Volume
2022-11-08,4.400000,4.440000,4.350000,4.390000,4.019495,136760016
2022-11-09,4.430000,4.480000,4.410000,4.450000,4.074431,297336458
2022-11-10,4.460000,4.460000,4.350000,4.390000,4.019495,192410820
2022-11-11,4.490000,4.620000,4.480000,4.590000,4.202616,484312856
2022-11-14,4.760000,4.760000,4.540000,4.560000,4.175148,324675032
2022-11-15,4.590000,4.660000,4.570000,4.650000,4.257552,286000333
2022-11-16,4.590000,4.650000,4.560000,4.600000,4.211772,320773030
2022-11-17,4.560000,4.600000,4.520000,4.560000,4.175148,202689856
2022-11-18,4.560000,4.580000,4.470000,4.510000,4.129368,230474916
2022-11-21,4.470000,4.570000,4.440000,4.530000,4.147680,211765438
2022-11-22,4.560000,4.620000,4.500000,4.590000,4.202616,254564792
2022-11-23,4.600000,4.650000,4.570000,4.590000,4.202616,194176557
2022-11-24,4.600000,4.640000,4.600000,4.620000,4.230084,199869775
2022-11-25,4.640000,4.720000,4.600000,4.700000,4.303332,207222435
2022-11-28,4.630000,4.640000,4.500000,4.590000,4.202616,275847761
2022-11-29,4.630000,4.750000,4.620000,4.720000,4.321644,397053665
2022-11-30,4.690000,4.740000,4.650000,4.710000,4.312489,454529752
2022-12-01,4.700000,4.750000,4.670000,4.730000,4.330801,355158610
2022-12-02,4.710000,4.750000,4.650000,4.660000,4.266708,355254146
2022-12-05,4.690000,4.740000,4.670000,4.710000,4.312489,349953485
2022-12-06,4.700000,4.750000,4.670000,4.750000,4.349113,265285183
2022-12-07,4.760000,4.770000,4.650000,4.670000,4.275864,490988912
2022-12-08,4.640000,4.720000,4.640000,4.710000,4.312489,200923584
2022-12-09,4.690000,4.770000,4.690000,4.730000,4.330801,252656324
2022-12-12,4.690000,4.750000,4.680000,4.710000,4.312489,224019383
2022-12-13,4.720000,4.720000,4.670000,4.710000,4.312489,224170969
2022-12-14,4.750000,4.750000,4.660000,4.680000,4.285020,233895831
2022-12-15,4.660000,4.690000,4.620000,4.670000,4.275864,157738780
2022-12-16,4.700000,4.730000,4.660000,4.700000,4.303332,227732300
2022-12-19,4.680000,4.720000,4.610000,4.640000,4.248396,199398426
2022-12-20,4.610000,4.640000,4.590000,4.610000,4.220928,149161505
2022-12-21,4.630000,4.650000,4.600000,4.640000,4.248396,101250570
2022-12-22,4.680000,4.710000,4.660000,4.710000,4.312489,171706013
2022-12-23,4.650000,4.700000,4.650000,4.670000,4.275864,73977124
2022-12-28,4.700000,4.880000,4.690000,4.860000,4.449829,338613773
2022-12-29,4.810000,4.880000,4.800000,4.880000,4.468141,265947132
2022-12-30,4.940000,4.940000,4.880000,4.890000,4.477297,197705514
2023-01-03,4.810000,4.950000,4.760000,4.930000,4.513921,308365503
2023-01-04,4.970000,5.000000,4.920000,5.000000,4.578013,322176859
2023-01-05,5.040000,5.050000,4.980000,4.990000,4.568857,325699037
2023-01-06,5.050000,5.050000,4.990000,4.990000,4.568857,244965877
2023-01-09,5.040000,5.060000,5.000000,5.000000,4.578013,254580777
2023-01-10,5.000000,5.010000,4.970000,4.990000,4.568857,287721964
2023-01-11,4.970000,5.020000,4.960000,4.990000,4.568857,309782294
2023-01-12,5.000000,5.020000,4.980000,5.010000,4.587169,329002365
2023-01-13,5.000000,5.100000,4.990000,5.060000,4.632949,319287450
2023-01-16,5.040000,5.120000,5.040000,5.090000,4.660418,281560511
2023-01-17,5.080000,5.110000,5.050000,5.050000,4.623794,361329799
2023-01-18,5.070000,5.100000,5.050000,5.090000,4.660418,308964837
2023-01-19,5.020000,5.090000,5.020000,5.080000,4.651261,177913176
2023-01-20,5.140000,5.140000,5.070000,5.130000,4.697042,198547385
2023-01-26,5.180000,5.220000,5.130000,5.220000,4.779446,308975305
2023-01-27,5.220000,5.270000,5.190000,5.270000,4.825226,198596280
2023-01-30,5.230000,5.250000,5.110000,5.140000,4.706197,625251495
2023-01-31,5.160000,5.170000,5.070000,5.080000,4.651261,540889355
2023-02-01,5.060000,5.110000,5.030000,5.070000,4.642106,339599922
2023-02-02,5.100000,5.110000,5.030000,5.040000,4.614637,383943740
2023-02-03,5.050000,5.050000,4.980000,5.010000,4.587169,263092921
2023-02-06,4.960000,4.990000,4.940000,4.960000,4.541389,168805993
2023-02-07,4.980000,5.020000,4.960000,4.960000,4.541389,181727464
2023-02-08,4.970000,5.030000,4.960000,5.000000,4.578013,153421629
2023-02-09,4.980000,5.020000,4.970000,4.990000,4.568857,171102201
2023-02-10,4.990000,5.020000,4.970000,4.980000,4.559701,126311690
2023-02-13,4.970000,4.990000,4.930000,4.950000,4.532233,161332384
2023-02-14,4.980000,5.010000,4.960000,4.970000,4.550545,134725822
2023-02-15,4.980000,4.980000,4.900000,4.940000,4.523077,211670136
2023-02-16,4.940000,4.970000,4.920000,4.930000,4.513921,289271506
2023-02-17,4.930000,4.970000,4.920000,4.940000,4.523077,180256927
2023-02-20,4.980000,5.020000,4.920000,4.980000,4.559701,212660283
2023-02-21,4.970000,5.020000,4.960000,4.990000,4.568857,300880472
2023-02-22,5.020000,5.030000,4.920000,4.930000,4.513921,194576397
2023-02-23,4.930000,4.970000,4.920000,4.930000,4.513921,186963120
2023-02-24,4.920000,4.950000,4.880000,4.880000,4.468141,223010035
2023-02-27,4.860000,4.890000,4.820000,4.850000,4.440673,166879886
2023-02-28,4.870000,4.920000,4.800000,4.800000,4.394893,297969124
2023-03-01,4.800000,4.970000,4.800000,4.940000,4.523077,319778999
2023-03-02,4.900000,5.020000,4.900000,4.980000,4.559701,270383417
2023-03-03,5.020000,5.030000,4.980000,5.000000,4.578013,290978437
2023-03-06,4.950000,5.060000,4.950000,5.030000,4.605482,287182540
2023-03-07,5.030000,5.200000,5.020000,5.100000,4.669573,567233517
2023-03-08,5.050000,5.060000,4.970000,5.010000,4.587169,425281231
2023-03-09,5.000000,5.040000,4.930000,4.950000,4.532233,246905355
2023-03-10,4.920000,4.950000,4.860000,4.890000,4.477297,289175897
2023-03-13,4.870000,4.990000,4.860000,4.990000,4.568857,294661347
2023-03-14,4.980000,5.020000,4.900000,4.920000,4.504765,329124232
2023-03-15,4.940000,5.050000,4.940000,5.050000,4.623794,326079147
2023-03-16,5.040000,5.080000,5.010000,5.070000,4.642106,448426422
2023-03-17,5.120000,5.120000,5.050000,5.120000,4.687885,495446742
